,player_id,Full Name,team_name,year,Points,Rebounds,Assists,Steals,Blocks,FGA,FG%,3PA,3P%,FTA,FT%,Def. Rebounds,Off. Rebounds,Fouls,Turnovers
85,507,Garrett Temple,Chicago Bulls,2020,-0.916765675415349,-0.813777802109584,-0.060170358518077116,-0.06111211037442056,0.279426253446983,-0.1802139689612609,-0.6306504535629943,0.3155360820502757,0.09096040522165182,-0.4224468646334884,0.28946126798473776,-0.317884080441768,-0.2792879478028717,0.47632699525737543,-0.01310835651196555
87,526,Denzel Valentine,Chicago Bulls,2020,-0.12119025566218704,0.27378224911266896,0.2613782913106809,0.008539133932628718,-0.41167171424922216,-0.40329125522095144,-1.1566807483534072,0.30207415806895904,0.05237106727314303,-1.482961203986193,1.3395045480679793,-0.21918703385575114,-0.6316361217859103,-1.108056718967232,-0.5711330089456714
88,945,Troy Brown Jr.,Chicago Bulls,2020,-0.7320303353906186,0.23265821002008674,-1.0015836480226104,0.036540940985171806,-0.266707872151961,-1.0737915471435882,0.7758770006576888,-0.05192922783375066,0.07641426848716666,-0.9948042300478301,0.5373881535599476,-0.15591277467380793,-0.060881095473093005,-0.3496897080187608,-1.0790312675010438
95,1021,Collin Sexton,Cleveland Cavaliers,2020,1.1582695943600705,-1.1207471373490079,0.5578005899553604,0.032040244786888,-0.6498288576403239,1.600206552852964,0.08806579715419136,0.4389670497906442,0.3826487260552664,1.2081341839564084,0.4053751365653544,-0.3983313155128408,0.27928628186004334,0.8599978363295968,1.0480732826617158
96,1860,Darius Garland,Cleveland Cavaliers,2020,0.5595975381468531,-1.4743034692032904,1.0878595097612234,0.35934285403562305,-0.8980801392906851,1.2145995685653364,-0.19693228274326102,0.4961964031103273,0.5716019020015412,0.4266868653963214,0.6165137553392689,-0.5678486259238827,-0.4082685650533906,0.3302862922898469,1.147902828295661
97,147,Andre Drummond,Cleveland Cavaliers,2020,0.8802118754256169,1.9228941960172672,0.06418991792073209,0.8907031022935363,0.7770711150056084,1.1393760426604262,0.1434931815178508,-0.7571413960200161,-1.4900927644573436,0.9827280204368521,-1.1659944056078642,1.8813541878791087,1.4578382699609704,0.793465716906658,1.136203198812294
98,727,Jarrett Allen,Cleveland Cavaliers,2020,0.1177678732869459,1.2681642552447339,-0.6032401425783873,-0.815663019530313,0.840310286691871,0.20028893291623148,1.7984008966191871,-0.8544145344828923,-0.07670296029688291,0.9292566629241654,-0.529022249460061,1.4504139246131096,1.3059361743083193,-0.2925666976949413,0.4267969104336732
99,326,Kevin Love,Cleveland Cavaliers,2020,0.3908512925391119,1.0862384726828758,0.27356401521669577,-0.15708535398710868,-0.8971436271312486,0.5709698992323813,-0.6760164532475725,0.6273934324272465,0.3561476672272577,0.28304950116294436,0.4644684813319433,1.4309145742879963,-0.012064614694320562,-0.9008890768391828,0.47351343278379665
100,437,Taurean Prince,Cleveland Cavaliers,2020,0.06195294303193661,-0.07473996933981358,0.24675419332713347,0.014176689551159206,0.3479164439853968,0.2540546907755753,-0.824168846503212,0.3847382832525686,0.7913938706906539,0.10095071204698862,0.5626868153533359,0.1525558196643247,-0.17051510997284952,0.10574336396721229,0.17565744272078107
101,2630,Isaac Okoro,Cleveland Cavaliers,2020,-0.7124173913724448,-1.0236876525810807,-0.49562442409614343,0.02582010115996415,-0.12539264184483898,0.21362347284204064,-0.49392829811799255,0.27113030162799295,-0.23390331518183996,0.42856649822073806,-0.24365319117120735,-0.5118713027409013,0.3231168815672115,0.98830219618571,0.3099534135513866
102,598,Yogi Ferrell,Cleveland Cavaliers,2020,0.2900905615256616,0.09993464356242185,0.5462170862897422,1.2522135648762285,0.4283488327204039,0.6350435777698041,-1.0522764996111,0.4555061744040515,0.07641426848716666,-0.30088858934730134,-5.6607839858203075,-0.5118713027409013,0.6755229836958573,0.3133707916737076,0.4066919726469993
103,854,Cedi Osman,Cleveland Cavaliers,2020,0.04333975925790375,-0.3672864886395657,0.42048493841509793,0.27313285054347586,-0.5121123148206558,0.29671253106910483,-1.020807477551605,0.4894407918839984,-0.05346195235644699,0.023364243200404564,0.34667516465593834,-0.20215388058716413,-0.20781934072193717,0.07421258774125553,0.13800412033997067
104,385,Larry Nance Jr.,Cleveland Cavaliers,2020,-0.7321569541670846,0.5307902855932809,0.22463688995256703,0.8624623719949684,0.11092914018952738,0.06577015560286487,0.0781497771823215,0.27446711928900025,0.2736500208191636,-0.022150078874682705,-1.2267069938021262,0.9923552996602315,0.6833181404972469,0.3133707916737076,0.5045253595135792
